late_base_gate_id,support_class,side,group_id,group_size,obs_window,execution_rule,execution_rule_label,train_active_days,test_active_days,n_eff_train,p_star_exact,subgroup_threshold_prob,sigma_train_raw,sigma_train_lcb,sigma_test_raw,rho_train_raw,rho_train_lcb,rho_test_raw,p_exact_train_raw_late,p_exact_train_lcb,p_exact_test_raw_late,rho_needed_at_sigma_lcb,late_minus_control_exact_train,late_minus_control_exact_test,recent182_days,recent182_exact_mean,recent182_exact_lcb,recent182_control_mean,recent182_control_diff,recent91_days,recent91_exact_mean,recent91_exact_lcb,recent91_control_mean,recent91_control_diff,daily_window,control_base_gate_id,p_exact_train_raw_control,p_exact_test_raw_control
late|small|center|same_top1_prev=all,late,small,center,1,192,front_singleton_exact_q75_only,front singleton exact q75 only,1072,293,2,0.08841951026361577,0.08841951026361577,0.10991915422885573,0.09250233208955223,0.07963594994311718,1.0,1.0,1.0,0.10991915422885573,0.09328358208955224,0.07963594994311718,0.955862498450484,0.010269361169320576,-0.048329093752263574,182,0.06318681318681318,0.03571428571428571,0.13278388278388278,-0.0695970695970696,91,0.054945054945054944,0.016483516483516484,0.12271062271062272,-0.06776556776556777,False,control|small|center|same_top1_prev=all,0.09964979305953515,0.12796504369538075
late|small|center|same_top1_prev=all,late,small,center,1,192,front_singleton_side_q75_only,front singleton side q75 only,1124,294,2,0.08841951026361577,0.08841951026361577,0.11135824436536179,0.0953403024911032,0.10317460317460317,1.0,1.0,1.0,0.11135824436536179,0.09444691577698694,0.10317460317460317,0.9274095839151208,0.015089324970782428,-0.01144990275425059,182,0.08974358974358974,0.05492216117216117,0.12362637362637363,-0.03388278388278389,91,0.04395604395604396,0.01098901098901099,0.11538461538461539,-0.07142857142857142,False,control|small|center|same_top1_prev=all,0.09626891939457936,0.11462450592885376
late|small|center|same_top1_prev=all,late,small,center,1,384,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.10192525481313704,0.09418176670441675,0.09421841541755889,1.0,1.0,1.0,0.10192525481313704,0.0938089845224613,0.09421841541755889,0.9511013634732786,-0.0011325028312570706,-0.006423982869379008,182,0.07692307692307691,0.05311355311355311,0.09065934065934066,-0.013736263736263743,91,0.08424908424908424,0.05128205128205127,0.07692307692307693,0.007326007326007314,False,control|small|center|same_top1_prev=all,0.10305775764439411,0.1006423982869379
late|small|center|same_top1_prev=all,late,small,center,1,384,front_singleton_exact_q75_only,front singleton exact q75 only,1091,303,2,0.08841951026361577,0.08841951026361577,0.09975557592422853,0.08310036663611366,0.0891089108910891,1.0,1.0,1.0,0.09975557592422853,0.0846280171096853,0.0891089108910891,1.064008666180668,0.0013392863314683479,-0.008047487213176302,182,0.07326007326007325,0.040293040293040296,0.09615384615384616,-0.02289377289377291,91,0.06593406593406594,0.02197802197802198,0.12087912087912088,-0.054945054945054944,False,control|small|center|same_top1_prev=all,0.09841628959276018,0.0971563981042654
late|small|center|same_top1_prev=all,late,small,center,1,384,front_singleton_side_q75_only,front singleton side q75 only,1054,299,2,0.08841951026361577,0.08841951026361577,0.10468058191018342,0.08854759645793801,0.09141583054626534,1.0,1.0,1.0,0.10468058191018342,0.08886385199240986,0.09141583054626534,0.9985534763285971,0.0015059787355802545,-0.03912604137491693,182,0.07509157509157509,0.04029304029304029,0.1401098901098901,-0.06501831501831502,91,0.054945054945054944,0.01098901098901099,0.12637362637362637,-0.07142857142857142,False,control|small|center|same_top1_prev=all,0.10317460317460317,0.13054187192118227
late|small|center|same_top1_prev=all,late,small,center,1,576,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.10192525481313704,0.09399773499433749,0.09421841541755889,1.0,1.0,1.0,0.10192525481313704,0.0938089845224613,0.09421841541755889,0.9529634595162231,0.01075877689694224,-0.008565310492505349,182,0.07692307692307691,0.05311355311355311,0.08791208791208792,-0.010989010989011005,91,0.08424908424908424,0.05128205128205127,0.054945054945054944,0.029304029304029297,True,control|small|center|same_top1_prev=all,0.0911664779161948,0.10278372591006424
late|small|center|same_top1_prev=all,late,small,center,1,576,front_singleton_exact_q75_only,front singleton exact q75 only,957,270,2,0.08841951026361577,0.08841951026361577,0.09909439219784047,0.0830677464298154,0.07777777777777778,1.0,1.0,1.0,0.09909439219784047,0.08202716823406478,0.07777777777777778,1.0644264960085574,0.01612495988342999,-0.04148827726809379,182,0.054945054945054944,0.027472527472527472,0.11926605504587157,-0.06432100010081662,91,0.03296703296703297,0.005494505494505495,0.0989010989010989,-0.06593406593406592,False,control|small|center|same_top1_prev=all,0.08296943231441048,0.11926605504587157
late|small|center|same_top1_prev=all,late,small,center,1,576,front_singleton_side_q75_only,front singleton side q75 only,991,288,2,0.08841951026361577,0.08841951026361577,0.10124453414059871,0.08341742347796838,0.0954861111111111,1.0,1.0,1.0,0.10124453414059871,0.08391775983854692,0.0954861111111111,1.0599645323134264,0.009541477372039753,-0.061230306799336665,182,0.08791208791208792,0.0521978021978022,0.15671641791044777,-0.06880432999835985,91,0.06593406593406594,0.02197802197802198,0.16483516483516483,-0.0989010989010989,False,control|small|center|same_top1_prev=all,0.09170305676855896,0.15671641791044777
late|small|edge_high|same_top1_prev=all,late,small,edge_high,2,192,front_pair_major_any_info,front pair major any info,1766,467,3,0.089576406726893,0.18565540131876168,0.19818799546998866,0.1876132502831257,0.21841541755888652,0.489083820662768,0.45769980506822616,0.4782913165266106,0.09701774254435636,0.08852397130992827,0.10421127765881512,0.47745245387366797,-0.003208758021895061,0.004996431120628114,182,0.09340659340659341,0.06959706959706959,0.10622710622710624,-0.01282051282051283,91,0.09157509157509157,0.058608058608058594,0.11355311355311357,-0.021978021978021997,False,control|small|edge_high|same_top1_prev=all,0.10022650056625142,0.099214846538187
late|small|edge_high|same_top1_prev=all,late,small,edge_high,2,192,front_pair_major_consensus_only,front pair major consensus only,1537,427,2,0.08841951026361577,0.1817303467017525,0.19605291693775753,0.17946215571459553,0.22638563622170177,0.5044858523119393,0.45997239475500346,0.4642857142857143,0.09780958577315114,0.08566471481240512,0.10031225604996095,0.49269167592209345,-0.006902456111665609,0.007058287795992713,182,0.07967032967032966,0.05036630036630036,0.09706959706959706,-0.017399267399267393,91,0.09706959706959706,0.05128205128205127,0.11355311355311354,-0.01648351648351648,False,control|small|edge_high|same_top1_prev=all,0.10471204188481675,0.09325396825396824
late|small|edge_high|same_top1_prev=all,late,small,edge_high,2,192,front_pair_major_margin_and_consensus,front pair major margin and consensus,535,160,2,0.08841951026361577,0.1817303467017525,0.17850467289719626,0.14827881619937694,0.2364583333333333,0.4954954954954955,0.40540540540540543,0.4634146341463415,0.0881619937694704,0.06542056074766354,0.109375,0.5963057470375684,-0.008456363718452292,0.04180743243243243,160,0.109375,0.0625,0.06756756756756757,0.04180743243243243,91,0.12637362637362637,0.06593406593406594,0.08791208791208792,0.03846153846153845,False,control|small|edge_high|same_top1_prev=all,0.09661835748792269,0.06756756756756757
late|small|edge_high|same_top1_prev=all,late,small,edge_high,2,192,front_pair_major_margin_and_side,front pair major margin and side,330,93,2,0.08841951026361577,0.1817303467017525,0.18838383838383838,0.1484848484848485,0.25268817204301075,0.48,0.37333333333333335,0.5,0.08484848484848485,0.05757575757575758,0.12903225806451613,0.5954783344284327,-0.021719049228342904,0.06799939421475087,93,0.12903225806451613,0.06451612903225806,0.06103286384976525,0.06799939421475087,91,0.13186813186813187,0.06593406593406594,0.06103286384976525,0.07083526801836662,False,control|small|edge_high|same_top1_prev=all,0.10656753407682776,0.06103286384976525
